scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
5,24,303764.0,25.0,5.568858105,5.485692013838477
5,25,303765.0,26.0,5.521453236,5.470967974893182
5,26,303766.0,27.0,5.426643562,5.400556784898831
5,27,308085.0,28.0,5.474048432,5.505933176719008
5,28,303769.0,29.0,5.758477451,5.729412071848451
5,29,303770.0,30.0,5.379238692,5.3436731587248625
5,30,303771.0,31.0,5.331833889,5.351980071816302
5,31,308023.0,32.0,5.616262909,5.614308089082939
5,32,303774.0,33.0,5.663667778,5.790922140958034
5,33,303776.0,34.0,5.995501668,5.903010405913608
5,34,303777.0,35.0,5.995501668,6.048672769564347
5,35,303778.0,36.0,6.801383922,6.418894656939241
5,36,303779.0,37.0,5.426643562,5.42124299869532
5,37,303780.0,38.0,5.521453236,5.513037955980842
5,38,303781.0,39.0,5.568858105,5.6075070483491265
5,39,303782.0,40.0,5.474048432,5.486229628142385
5,40,303783.0,41.0,5.094809673,5.098638361756513
5,41,303784.0,42.0,5.331833889,5.283709075472777
5,42,303785.0,43.0,5.521453236,5.503133845962236
5,43,303786.0,44.0,5.853287125,5.805948441404177
5,44,303787.0,45.0,5.616262909,5.4786634893784525
5,45,303788.0,46.0,12.91660827,13.752440872645304
5,46,303789.0,47.0,5.189619346,5.187736977449675
5,47,901744.0,48.0,6.991003269,7.4042277362879085
5,48,303791.0,49.0,5.331833889,5.338857403042425
5,49,901735.0,50.0,15.2868503,14.643707829682645
6,0,305287.0,1.0,7.512456504,7.781420362566536
6,1,308189.0,2.0,6.848788792,6.574386510266183
6,2,305167.0,3.0,6.848788792,6.993835386217196
6,3,308188.0,4.0,7.275432355,7.346455626327628
6,4,305170.0,5.0,8.128719478,8.209324179615281
6,5,305171.0,6.0,6.279930687,6.2592367656295345
6,6,305172.0,7.0,5.663667778,5.726097311160225
6,7,305173.0,8.0,5.663667778,5.529021971318671
6,8,305174.0,9.0,5.331833889,5.335126551337177
6,9,305175.0,10.0,5.189619346,5.204570508879643
6,10,305299.0,11.0,7.085812942,6.72970593606058
6,11,305300.0,12.0,6.564359706,6.822310327874386
6,12,305301.0,13.0,7.559861374,7.3948827317274874
6,13,306570.0,14.0,5.663667778,5.609692233124299
6,14,305304.0,15.0,10.49896144,10.271130206387747
6,15,305305.0,16.0,5.426643562,5.4541399611255805
6,16,305306.0,17.0,6.185121014,6.196171604052162
6,17,305308.0,18.0,5.237024216,5.233966988065678
