scenario_number,stop_index,stop_id,stop_sequence,baseline_dwell_time,scenario_dwell_time
3,29,304663,30,6.186129187,6.096453095
3,30,304664,31,10.10947958,9.624108287
3,31,306600,32,5.729925654,5.6588295
3,32,306676,33,5.501823887,5.517572636
3,33,306677,34,5.364962827,5.416233778
3,34,306474,35,5.593064594,5.610122628
3,35,305263,36,5.958027421,6.03119135
3,36,305264,37,5.729925654,5.67718307
3,37,305265,38,6.733573428,6.956729011
3,38,306476,39,8.284665443,8.494181069
3,39,307114,40,7.144156608,7.275730724
3,40,306622,41,7.554739788,7.023398585
3,41,305271,42,6.414230954,6.380534757
3,42,305272,43,6.414230954,6.658999228
3,43,306623,44,5.501823887,5.427248417
3,44,307121,45,5.091240707,5.083956453
3,45,305155,46,6.003647774,5.872770928
3,46,305156,47,6.094888481,6.121292019
3,47,305157,48,7.96532297,8.506340381
3,48,305159,49,7.691600848,7.769694037
3,49,308186,50,7.782841555,8.111776061
3,50,305284,51,7.919702614,7.848419398
3,51,308187,52,5.6843053,5.684269398
3,52,305286,53,8.330285796,8.666128808
4,0,901736,1,10.83940523,10.78569172
4,1,303710,2,6.003647774,6.187343987
4,2,303711,3,5.319342473,5.327052768
4,3,303712,4,7.144156608,7.170870236
4,4,303713,5,13.43976537,13.08798626
4,5,303714,6,6.140508834,6.191485431
4,6,306974,7,5.456203534,5.446676952
4,7,306322,8,6.277369894,6.183040207
4,8,303717,9,5.775546007,5.648358147
4,9,303718,10,5.13686106,5.123586605
4,10,308136,11,11.88867336,11.71026923
4,11,303720,12,5.54744424,5.508027141
4,12,303722,13,5.54744424,5.466614235
4,13,303723,14,5.27372212,5.253139245
4,14,303724,15,5.091240707,5.086741453
4,15,303725,16,5.319342473,5.29645016
4,16,303726,17,15.49268127,14.86727532
4,17,303727,18,5.319342473,5.28905153
4,18,303728,19,5.13686106,5.159255906
4,19,303729,20,5.27372212,5.248109236
4,20,303730,21,5.821166361,5.947878494
4,21,303731,22,5.866786714,5.897962745
4,22,303732,23,5.593064594,5.736038765
4,23,303733,24,5.54744424,5.533343081
4,24,303734,25,5.638684947,5.781019722
4,25,303735,26,6.322990248,6.460983128
4,26,303736,27,7.326638021,6.940667878
4,27,303737,28,6.870434488,6.6173535
4,28,303738,29,5.501823887,5.490397478
4,29,304663,30,6.186129187,6.165194769
4,30,304664,31,10.10947958,9.738801413
4,31,306600,32,5.729925654,5.62535334
4,32,306676,33,5.501823887,5.574790567
4,33,306677,34,5.364962827,5.371371424
4,34,306474,35,5.593064594,5.578630768
4,35,305263,36,5.958027421,5.996959259
4,36,305264,37,5.729925654,5.700976899
4,37,305265,38,6.733573428,6.613994323
4,38,306476,39,8.284665443,8.137843942
4,39,307114,40,7.144156608,6.695552483
4,40,306622,41,7.554739788,7.627106681
4,41,305271,42,6.414230954,6.098112
4,42,305272,43,6.414230954,6.236225143
4,43,306623,44,5.501823887,5.507132253
4,44,307121,45,5.091240707,5.099989371
4,45,305155,46,6.003647774,6.051278086
4,46,305156,47,6.094888481,6.220663267
4,47,305157,48,7.96532297,7.9016116
4,48,305159,49,7.691600848,7.301489556
4,49,308186,50,7.782841555,7.991275053
4,50,305284,51,7.919702614,8.024630218
4,51,308187,52,5.6843053,5.652991399
4,52,305286,53,8.330285796,8.303450433
5,0,901736,1,10.83940523,11.34952944
5,1,303710,2,6.003647774,6.118560437
5,2,303711,3,5.319342473,5.310046339
5,3,303712,4,7.144156608,7.141502198
5,4,303713,5,13.43976537,12.91418387
5,5,303714,6,6.140508834,6.076462552
5,6,306974,7,5.456203534,5.508021562
5,7,306322,8,6.277369894,6.110984031
5,8,303717,9,5.775546007,5.687566311
5,9,303718,10,5.13686106,5.109563163
