scenario_number,stop_index,stop_id,stop_sequence,stop_name,baseline_ridership,scenario_ridership
4,7,306322,8,EMPIRE BLVD/LAMONT CT,44.58196721,41.28973131
4,8,303717,9,KINGSTON AV/MONTGOMERY ST,27.06762295,22.62859161
4,9,303718,10,KINGSTON AV/CARROLL ST,4.776639344,4.31334261
4,10,308136,11,KINGSTON AV/UNION ST,240.4241803,234.1976306
4,11,303720,12,KINGSTON AV/SAINT JOHNS PL,19.10655738,17.73084638
4,12,303722,13,KINGSTON AV/PROSPECT PL,19.10655738,16.28547897
4,13,303723,14,KINGSTON AV/BERGEN ST,9.553278689,8.834908023
4,14,303724,15,KINGSTON AV/PACIFIC ST,3.18442623,3.02739609
4,15,303725,16,KINGSTON AV/ATLANTIC AV,11.1454918,10.34651857
4,16,303726,17,KINGSTON AV/FULTON ST,366.2090164,344.3814879
4,17,303727,18,THROOP AV/FULTON ST,11.1454918,10.08829617
4,18,303728,19,THROOP AV/MACDONOUGH ST,4.776639344,5.558250295
4,19,303729,20,THROOP AV/HALSEY ST,9.553278689,8.659353798
4,20,303730,21,THROOP AV/JEFFERSON AV,28.65983607,33.08226391
4,21,303731,22,THROOP AV/MADISON ST,30.25204918,31.34013558
4,22,303732,23,THROOP AV/GATES AV,20.69877049,25.68876584
4,23,303733,24,THROOP AV/GREENE AV,19.10655738,18.61440751
4,24,303734,25,THROOP AV/LAFAYETTE AV,22.29098361,27.25866312
4,25,303735,26,THROOP AV/DE KALB AV,46.17418033,50.99032177
4,26,303736,27,THROOP AV/HART ST,81.20286885,67.73197967
4,27,303737,28,THROOP AV/MYRTLE AV,65.2807377,56.44786295
4,28,303738,29,THROOP AV/PARK AV,17.51434426,17.11554686
4,29,304663,30,FLUSHING AV/THROOP AV,41.39754098,40.66690096
4,30,304664,31,FLUSHING AV/BROADWAY,178.3278689,165.3906908
4,31,306600,32,GRAHAM AV/COOK ST,25.47540984,21.82569217
4,32,306676,33,GRAHAM AV/SEIGEL ST,17.51434426,20.06098181
4,33,306677,34,GRAHAM AV/JOHNSON AV,12.73770492,12.96137379
4,34,306474,35,GRAHAM AV/SCHOLES ST,20.69877049,20.1950101
4,35,305263,36,GRAHAM AV/GRAND ST,33.43647541,34.79525014
4,36,305264,37,GRAHAM AV/AINSLIE ST,25.47540984,24.46505845
4,37,305265,38,GRAHAM AV/METROPOLITAN AV,60.50409836,56.33062304
4,38,306476,39,GRAHAM AV/JACKSON ST,114.6393443,109.5150719
4,39,307114,40,GRAHAM AV/MEEKER AV,74.83401639,59.17711508
4,40,306622,41,GRAHAM AV/BAYARD ST,89.16393443,91.68963856
4,41,305271,42,GRAHAM AV/ENGERT AV,49.35860656,38.32562002
4,42,305272,43,GRAHAM AV/DRIGGS AV,49.35860656,43.14595876
4,43,306623,44,DRIGGS AV/LEONARD ST,17.51434426,17.69961353
4,44,307121,45,MANHATTAN AV/NASSAU AV,3.18442623,3.489766659
4,45,305155,46,MANHATTAN AV/NORMAN AV,35.02868852,36.69105195
4,46,305156,47,MANHATTAN AV/MESEROLE AV,38.21311475,42.6028279
